"brand","store","week","sales_","count","price_","prom_","cost_","brand_name","size","avoutprice"
1,101,31,20,25709,3.53,0,2.26,"Tylenol 25",25,0.0003643
1,101,32,9,25535,3.51,0,2.25,"Tylenol 25",25,0.0055564
1,101,33,21,26513,3.52,0,2.26,"Tylenol 25",25,0.0030973
1,101,34,22,27514,3.5,0,2.23,"Tylenol 25",25,0.004097
1,101,35,20,24950,3.51,0,2.23,"Tylenol 25",25,0.0063168
1,101,36,24,25442,3.52,0,2.25,"Tylenol 25",25,0.0018369
1,101,37,11,25757,3.62,0,2.33,"Tylenol 25",25,0.0017438
1,101,38,18,27056,2.39,0.78,1.53,"Tylenol 25",25,0.0041029
1,101,39,21,24717,3.53,0,2.25,"Tylenol 25",25,0.005222
1,101,4,28,24728,3.32,0,2.1,"Tylenol 25",25,0.0009428
1,101,40,13,24279,3.52,0,2.26,"Tylenol 25",25,0.0046641
1,101,41,24,32405,3.56,0,2.28,"Tylenol 25",25,0.0023823
1,101,42,12,23062,3.52,0,2.26,"Tylenol 25",25,0.0018343
1,101,43,26,27236,3.48,0,2.22,"Tylenol 25",25,0.0028371
1,101,44,18,26989,3.53,0,2.26,"Tylenol 25",25,0.0016509
1,101,45,18,28418,3.54,0,2.27,"Tylenol 25",25,0.0005508
1,101,46,15,27858,3.54,0,2.29,"Tylenol 25",25,0.0030288
1,101,47,19,26004,3.52,0,2.25,"Tylenol 25",25,0.0042205
1,101,48,16,25273,3.53,0,2.24,"Tylenol 25",25,0.0019316
1,101,5,13,25281,3.29,0,2.06,"Tylenol 25",25,0.0053091
1,101,6,23,25775,3.31,0,2.08,"Tylenol 25",25,0.0040238
1,101,7,16,24952,3.31,0,2.09,"Tylenol 25",25,0.0050557
1,101,8,19,24645,3.3,0,2.08,"Tylenol 25",25,0.0006017
1,101,9,19,24645,3.3,0,2.08,"Tylenol 25",25,0.0006857
1,102,1,30,30200,3.35,0,2.14,"Tylenol 25",25,0.0021446
1,102,10,32,32093,3.12,0,2.12,"Tylenol 25",25,0.003486
1,102,11,25,27944,3.23,0,2.12,"Tylenol 25",25,0.0035882
1,102,12,26,29595,3.18,0,2.1,"Tylenol 25",25,0.0034982
1,102,13,30,30441,3.23,0,2.14,"Tylenol 25",25,0.0047778
1,102,14,30,30441,3.23,0,2.14,"Tylenol 25",25,0.0042213
1,102,15,31,30777,3.55,0,2.24,"Tylenol 25",25,0.004558
1,102,16,22,32312,3.52,0,2.22,"Tylenol 25",25,0.0015577
1,102,17,24,30981,3.6,0,2.31,"Tylenol 25",25,0.0011847
1,102,18,26,30347,3.52,0,2.24,"Tylenol 25",25,0.0057621
1,102,19,26,30347,3.52,0,2.24,"Tylenol 25",25,0.0035835
1,102,2,30,30200,3.35,0,2.14,"Tylenol 25",25,0.0048834
1,102,20,26,30347,3.52,0,2.24,"Tylenol 25",25,0.0039312
1,102,21,31,37872,3.57,0,2.28,"Tylenol 25",25,0.0048629
1,102,22,17,30195,3.52,0,2.24,"Tylenol 25",25,0.0017259
1,102,23,22,29452,3.52,0,2.23,"Tylenol 25",25,0.0003648
1,102,24,35,30621,3.53,0,2.23,"Tylenol 25",25,0.0040194
1,102,25,30,29815,3.53,0,2.24,"Tylenol 25",25,0.0059207
1,102,26,30,29999,3.53,0,2.26,"Tylenol 25",25,0.0027331
1,102,27,33,29473,3.52,0,2.25,"Tylenol 25",25,0.0052855
1,102,28,28,30278,3.5,0,2.24,"Tylenol 25",25,0.0022884
1,102,29,23,30721,3.56,0,2.29,"Tylenol 25",25,0
1,102,3,23,27223,3.32,0,2.1,"Tylenol 25",25,0.0017178
1,102,30,41,34370,3.53,0,2.27,"Tylenol 25",25,0.0020162
1,102,31,20,28265,3.51,0,2.23,"Tylenol 25",25,0.0063939
1,102,32,26,29053,3.54,0,2.27,"Tylenol 25",25,0.0004535
1,102,33,27,29910,3.53,0,2.26,"Tylenol 25",25,0.0007249
1,102,34,27,29910,3.53,0,2.26,"Tylenol 25",25,0.0051864
1,102,35,18,24283,3.56,0,2.3,"Tylenol 25",25,0.0040259
1,102,36,15,29591,3.54,0,2.28,"Tylenol 25",25,0.0045969
1,102,37,21,29362,3.5,0,2.25,"Tylenol 25",25,0.0034071
1,102,38,21,31529,3.5,0.81,2.25,"Tylenol 25",25,0.0020497
1,102,39,16,24570,3.48,0,2.21,"Tylenol 25",25,0.001558
1,102,4,19,28560,3.31,0,2.08,"Tylenol 25",25,0
1,102,40,15,27213,3.56,0,2.27,"Tylenol 25",25,0.002841
1,102,41,30,41475,3.55,0,2.29,"Tylenol 25",25,0.0056866
1,102,42,26,25666,3.52,0,2.26,"Tylenol 25",25,0.0044955
1,102,43,26,33696,3.53,0,2.28,"Tylenol 25",25,0.0046753
1,102,44,25,31993,3.48,0,2.21,"Tylenol 25",25,0.0056755
1,102,45,30,33186,3.51,0,2.25,"Tylenol 25",25,0.0018367
1,102,46,32,32848,3.51,0,2.25,"Tylenol 25",25,0.0022922
1,102,47,32,32848,3.51,0,2.25,"Tylenol 25",25,0.0019319
1,102,48,32,32848,3.51,0,2.25,"Tylenol 25",25,0.0033129
1,102,5,25,29090,3.28,0,2.05,"Tylenol 25",25,0.0034237
1,102,6,23,29906,3.35,0,2.13,"Tylenol 25",25,0.0024811
1,102,7,23,28842,3.36,0,2.14,"Tylenol 25",25,0.0022297
1,102,8,23,28842,3.36,0,2.14,"Tylenol 25",25,0.0060852
1,102,9,19,33278,3.35,0,2.15,"Tylenol 25",25,0.0055847
1,103,1,18,23534,3.25,0,2.01,"Tylenol 25",25,0.0043723
1,103,10,27,24047,3.04,0,2.09,"Tylenol 25",25,0.0056021
1,103,11,17,22360,3.26,0,2.14,"Tylenol 25",25,0.0005957
1,103,12,28,22995,3.26,0,2.16,"Tylenol 25",25,0.0001705
1,103,13,18,22881,3.22,0,2.13,"Tylenol 25",25,0.0025675
1,103,14,24,25172,3.55,0,2.22,"Tylenol 25",25,0.0031355
1,103,15,27,23114,3.55,0,2.24,"Tylenol 25",25,0.0040153
1,103,16,22,24332,3.55,0,2.26,"Tylenol 25",25,0.0022907
1,103,17,30,24387,3.51,0,2.24,"Tylenol 25",25,0.0047544
