"","brand","store","week","sales_","count","price_","prom_","cost_","brand_name","size","avoutprice"
"1",1,100,1,15,29262,3.34,0,2.12,"Tylenol 25",25,0.0036886
"2",1,100,10,26,30608,3.32,0,2.13,"Tylenol 25",25,0.0008572
"3",1,100,11,21,26464,3.34,0,2.16,"Tylenol 25",25,0.0028218
"4",1,100,12,30,28324,3.31,0,2.13,"Tylenol 25",25,0.0061461
"5",1,100,13,27,28234,3.32,0,2.13,"Tylenol 25",25,0
"6",1,100,14,27,28234,3.32,0,2.13,"Tylenol 25",25,0.0027878
"7",1,100,15,27,28234,3.32,0,2.13,"Tylenol 25",25,0.000898
"8",1,100,16,25,29076,3.59,0,2.3,"Tylenol 25",25,0.0019236
"9",1,100,17,30,28563,3.54,0,2.26,"Tylenol 25",25,0.0053929
"10",1,100,18,23,28464,3.58,0,2.29,"Tylenol 25",25,0.0056693
"11",1,100,19,23,28464,3.58,0,2.29,"Tylenol 25",25,0.0010241
"12",1,100,2,20,30365,3.28,0,2.04,"Tylenol 25",25,8.54e-05
"13",1,100,20,23,28464,3.58,0,2.29,"Tylenol 25",25,0.0047508
"14",1,100,21,38,36148,3.56,0,2.27,"Tylenol 25",25,0.0009361
"15",1,100,22,30,28446,3.55,0,2.26,"Tylenol 25",25,0.0027232
"16",1,100,23,18,28232,3.51,0,2.23,"Tylenol 25",25,0.0001834
"17",1,100,24,32,28462,3.55,0,2.27,"Tylenol 25",25,0.0032852
"18",1,100,25,24,28675,3.51,0,2.24,"Tylenol 25",25,0.0050157
"19",1,100,26,31,28538,3.53,0,2.24,"Tylenol 25",25,0
"20",1,100,27,32,27113,3.52,0,2.25,"Tylenol 25",25,0.0053769
"21",1,100,28,24,28576,3.5,0,2.24,"Tylenol 25",25,0.0026539
"22",1,100,29,24,29217,3.57,0,2.31,"Tylenol 25",25,0.0014589
"23",1,100,3,24,25317,3.28,0,2.05,"Tylenol 25",25,0.002321
"24",1,100,30,27,32120,3.53,0,2.27,"Tylenol 25",25,0.0015588
"25",1,100,31,19,27054,3.61,0,2.34,"Tylenol 25",25,0.0007298
"26",1,100,32,28,26788,3.56,0,2.29,"Tylenol 25",25,0.005373
"27",1,100,33,29,28743,3.56,0,2.3,"Tylenol 25",25,0.0010017
"28",1,100,34,24,30390,3.49,0,2.22,"Tylenol 25",25,0
"29",1,100,35,22,28746,3.5,0,2.23,"Tylenol 25",25,0.0016522
"30",1,100,36,25,28868,3.56,0,2.29,"Tylenol 25",25,0.0055172
"31",1,100,37,19,27267,3.5,0,2.24,"Tylenol 25",25,0.0032247
"32",1,100,38,21,30296,3.53,0.81,2.25,"Tylenol 25",25,0.0024399
"33",1,100,39,34,26082,3.51,0,2.25,"Tylenol 25",25,0.0009172
"34",1,100,4,26,27864,3.36,0,2.14,"Tylenol 25",25,0.0037693
"35",1,100,40,29,25045,3.52,0,2.25,"Tylenol 25",25,0.0050305
"36",1,100,41,30,40211,3.52,0,2.26,"Tylenol 25",25,0.0016452
"37",1,100,42,27,24072,3.51,0,2.25,"Tylenol 25",25,0.0064211
"38",1,100,43,27,34436,3.53,0,2.26,"Tylenol 25",25,0.0029274
"39",1,100,44,26,30344,3.48,0,2.22,"Tylenol 25",25,0.0027512
"40",1,100,45,28,31294,3.5,0,2.25,"Tylenol 25",25,0.0038495
"41",1,100,46,23,35556,3.55,0,2.29,"Tylenol 25",25,0.0031207
"42",1,100,47,34,26688,3.53,0,2.27,"Tylenol 25",25,0.0047716
"43",1,100,48,25,33731,3.55,0,2.29,"Tylenol 25",25,0.0023906
"44",1,100,5,23,27664,3.33,0,2.11,"Tylenol 25",25,0.0032527
"45",1,100,6,20,27866,3.33,0,2.1,"Tylenol 25",25,0.0017108
"46",1,100,7,18,27537,3.3,0,2.07,"Tylenol 25",25,0.0054005
"47",1,100,8,18,27537,3.3,0,2.07,"Tylenol 25",25,0.0061723
"48",1,100,9,37,31640,3.34,0,2.13,"Tylenol 25",25,0.0024899
"49",1,101,1,19,26050,3.28,0,2.05,"Tylenol 25",25,0.0005145
